year,race,Median Household Income,ALICE Threshold
2010,Overall,42240,45000
2010,White,45259,45000
2010,Black Or African American,30825,45000
2010,American Indian And Alaska Native,24559,45000
2010,Asian,30550,45000
2010,Native Hawaiian And Other Pacific Islander,NA,45000
2010,Some Other Race,34348,45000
2010,Two Or More Races,23229,45000
2010,"White , Not Hispanic Or Latino",45684,45000
2010,Hispanic Or Latino,28636,45000
2012,Overall,44535,50000
2012,White,47188,50000
2012,Black Or African American,32280,50000
2012,American Indian And Alaska Native,64554,50000
2012,Asian,31553,50000
2012,Native Hawaiian And Other Pacific Islander,NA,50000
2012,Some Other Race,36250,50000
2012,Two Or More Races,52530,50000
2012,"White , Not Hispanic Or Latino",47276,50000
2012,Hispanic Or Latino,35464,50000
2014,Overall,47218,60000
2014,White,53524,60000
2014,Black Or African American,31550,60000
2014,American Indian And Alaska Native,66304,60000
2014,Asian,33000,60000
2014,Native Hawaiian And Other Pacific Islander,NA,60000
2014,Some Other Race,36667,60000
2014,Two Or More Races,52896,60000
2014,"White , Not Hispanic Or Latino",52527,60000
2014,Hispanic Or Latino,63426,60000
2016,Overall,50727,60000
2016,White,60087,60000
2016,Black Or African American,26590,60000
2016,American Indian And Alaska Native,68616,60000
2016,Asian,41086,60000
2016,Native Hawaiian And Other Pacific Islander,NA,60000
2016,Some Other Race,NA,60000
2016,Two Or More Races,51648,60000
2016,"White , Not Hispanic Or Latino",60183,60000
2016,Hispanic Or Latino,53814,60000
2018,Overall,58933,60000
2018,White,68849,60000
2018,Black Or African American,29494,60000
2018,American Indian And Alaska Native,31417,60000
2018,Asian,57713,60000
2018,Native Hawaiian And Other Pacific Islander,NA,60000
2018,Some Other Race,70521,60000
2018,Two Or More Races,48504,60000
2018,"White , Not Hispanic Or Latino",69567,60000
2018,Hispanic Or Latino,56303,60000
