category,final_level,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HISPANIC OR LATINO AND RACE,Hispanic or Latino (of any race),4.7,4.9,4.9,5,4.9,5,5,5.2,5.4,5.5
HISPANIC OR LATINO AND RACE,Not Hispanic or Latino,95.3,95.1,95.1,95,95.1,95,95,94.8,94.6,94.5
HISPANIC OR LATINO AND RACE,Total population,42267,42758,43223,43663,44505,45084,45538,46487,47042,47096
RACE,American Indian and Alaska Native,0.4,0.4,0.4,0.5,0.2,0.2,0.4,0.3,0.3,0.2
RACE,Asian,6.5,6.5,6.5,6.7,6.8,6.7,6.9,7.2,7.1,7.1
RACE,Black or African American,20.1,19.7,20,19.8,19.6,19.2,18.7,18.9,18.7,18.8
RACE,Native Hawaiian and Other Pacific Islander,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0,0,0.1
RACE,Some other race,2,1.5,1.2,0.6,0.3,0.3,0.4,0.4,0.4,0.4
RACE,Two or more races,2.7,2.8,2.4,2.2,2.3,2.7,3.2,3.1,3,2.9
RACE,White,68.3,69,69.3,70.1,70.6,70.7,70.3,70.1,70.4,70.6
SEX AND AGE,10 to 14 years,3.4,3.7,3.8,3.7,3.7,3.6,3.7,4.1,3.7,4.4
SEX AND AGE,15 to 19 years,10.3,8.5,7.5,7.6,7.2,6.7,5.7,6.9,7.3,6.8
SEX AND AGE,20 to 24 years,21,22.9,22.4,20.9,20,18.5,18.3,15.2,15.1,15.3
SEX AND AGE,25 to 34 years,17,17.4,18.6,19.5,19.8,20.6,21,21.1,20.2,20.3
SEX AND AGE,35 to 44 years,10.2,10.2,10.3,10.6,11,11.5,11.6,11.8,12.3,12.2
SEX AND AGE,45 to 54 years,10.4,10.1,10.1,9.9,9.9,10.2,10.4,10.5,10.6,10.4
SEX AND AGE,5 to 9 years,4,3.6,3.7,3.7,3.9,4,4.1,4.2,4.4,4
SEX AND AGE,55 to 59 years,5,4.7,4.6,4.7,5.4,5.6,5.7,6.2,6.1,5.7
SEX AND AGE,60 to 64 years,3.7,4.1,4.4,4.6,4.2,4.5,4.5,4.1,4.2,4.5
SEX AND AGE,65 to 74 years,5.1,4.9,4.9,5,5.1,5.2,5.5,6.2,6.5,6.8
SEX AND AGE,75 to 84 years,3.3,3.2,3.2,3.2,2.9,2.9,2.7,2.8,2.8,3
SEX AND AGE,85 years and over,1.3,1.3,1.2,1.1,1.2,1.1,1.2,1.4,1.4,1.5
SEX AND AGE,Female,52.1,52,51.9,51.8,52,51.7,51.6,52,51.5,51.6
SEX AND AGE,Male,47.9,48,48.1,48.2,48,48.3,48.4,48,48.5,48.4
SEX AND AGE,Total population,42267,42758,43223,43663,44505,45084,45538,46487,47042,47096
SEX AND AGE,Under 5 years,5.1,5.2,5.3,5.4,5.5,5.5,5.5,5.5,5.5,5
