category,final_level,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HISPANIC OR LATINO AND RACE,Hispanic or Latino (of any race),5.5,5.6,5.6,5.7,5.7,5.8,5.7,5.8,5.9,5.8
HISPANIC OR LATINO AND RACE,Not Hispanic or Latino,94.5,94.4,94.4,94.3,94.3,94.2,94.3,94.2,94.1,94.2
HISPANIC OR LATINO AND RACE,Total population,99150,100553,102251,103000,104489,105703,106878,107702,108718,109330
RACE,American Indian and Alaska Native,0.3,0.2,0.6,0.1,0.8,0.1,0.2,0.3,0.5,0.2
RACE,Asian,4.2,4.7,4,3.9,4.9,4.9,5,5.5,5.5,5
RACE,Black or African American,10.3,10.1,9.2,9,8.9,10,9.8,9.7,9.5,9.1
RACE,Native Hawaiian and Other Pacific Islander,0,0,0,0.1,0,0,0.1,0,0,0.1
RACE,Some other race,0.7,0.2,1.8,1.3,1.8,0.6,1.5,0.8,0.1,0.5
RACE,Two or more races,2.2,2.4,3.4,3.5,2.5,1.8,2.4,2.2,2,3.1
RACE,White,82.3,82.4,81,82.1,81,82.5,81,81.5,82.3,81.9
SEX AND AGE,10 to 14 years,6.5,6.2,5.9,6,6.7,6.1,4.8,5.4,5.9,5.3
SEX AND AGE,15 to 19 years,8.1,8.4,10.8,10.3,9.2,9.2,9.2,9.3,8.3,9.2
SEX AND AGE,20 to 24 years,6.8,8.7,6.9,5,6.4,6.4,6.6,7.5,7.2,7
SEX AND AGE,25 to 34 years,12.3,13.4,12.4,13.2,13.3,13.5,13.1,12.6,13.8,12.3
SEX AND AGE,35 to 44 years,12.2,10.7,11.5,11.7,11.8,11.2,11.3,11.8,11.2,11.3
SEX AND AGE,45 to 54 years,15.6,13.9,13.2,12.8,12.7,12.3,12.1,12.3,11.2,11.9
SEX AND AGE,5 to 9 years,6.7,5.6,5.9,6.2,5.3,5.4,7,6.2,4.9,5.6
SEX AND AGE,55 to 59 years,7.6,6.4,7.5,7.6,5.7,7.3,8.2,5.6,5.8,6.6
SEX AND AGE,60 to 64 years,5.1,6.7,5.1,6,7.1,6,5.5,7.3,6.7,6.5
SEX AND AGE,65 to 74 years,7.3,7.5,8.3,8.5,9.1,9.6,9.3,9.8,10.7,11.3
SEX AND AGE,75 to 84 years,5.2,4.2,5.4,5.1,4.7,4.3,5.2,5,5.9,5.7
SEX AND AGE,85 years and over,1.9,2.4,1.8,2.2,3,3,2.7,2.3,2.6,2.2
SEX AND AGE,Female,52.7,52,51.4,52.2,52.3,52.6,52.3,52.2,52.4,51
SEX AND AGE,Male,47.3,48,48.6,47.8,47.7,47.4,47.7,47.8,47.6,49
SEX AND AGE,Total population,99150,100553,102251,103000,104489,105703,106878,107702,108718,109330
SEX AND AGE,Under 5 years,4.7,5.9,5.4,5.5,5.1,5.8,5,4.9,5.8,5.1
