year,race,Median Household Income,ALICE Threshold
2010,Overall,64847,50000
2010,White,71532,50000
2010,Black Or African American,38526,50000
2010,American Indian And Alaska Native,NA,50000
2010,Asian,47898,50000
2010,Native Hawaiian And Other Pacific Islander,NA,50000
2010,Some Other Race,42873,50000
2010,Two Or More Races,37159,50000
2010,"White , Not Hispanic Or Latino",71378,50000
2010,Hispanic Or Latino,63229,50000
2012,Overall,67797,60000
2012,White,73190,60000
2012,Black Or African American,40047,60000
2012,American Indian And Alaska Native,24338,60000
2012,Asian,74432,60000
2012,Native Hawaiian And Other Pacific Islander,NA,60000
2012,Some Other Race,40962,60000
2012,Two Or More Races,37104,60000
2012,"White , Not Hispanic Or Latino",74301,60000
2012,Hispanic Or Latino,42326,60000
2014,Overall,67958,60000
2014,White,72172,60000
2014,Black Or African American,39312,60000
2014,American Indian And Alaska Native,46250,60000
2014,Asian,72419,60000
2014,Native Hawaiian And Other Pacific Islander,NA,60000
2014,Some Other Race,47500,60000
2014,Two Or More Races,57566,60000
2014,"White , Not Hispanic Or Latino",72741,60000
2014,Hispanic Or Latino,48911,60000
2016,Overall,70342,75000
2016,White,73383,75000
2016,Black Or African American,47260,75000
2016,American Indian And Alaska Native,53000,75000
2016,Asian,72470,75000
2016,Native Hawaiian And Other Pacific Islander,NA,75000
2016,Some Other Race,45789,75000
2016,Two Or More Races,51094,75000
2016,"White , Not Hispanic Or Latino",73975,75000
2016,Hispanic Or Latino,48904,75000
2018,Overall,75394,75000
2018,White,80183,75000
2018,Black Or African American,51563,75000
2018,American Indian And Alaska Native,55000,75000
2018,Asian,75913,75000
2018,Native Hawaiian And Other Pacific Islander,NA,75000
2018,Some Other Race,47685,75000
2018,Two Or More Races,41132,75000
2018,"White , Not Hispanic Or Latino",80818,75000
2018,Hispanic Or Latino,58289,75000
