category,final_level,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HISPANIC OR LATINO AND RACE,Hispanic or Latino (of any race),2.8,2.9,3,3.1,3.1,3.2,3.3,3.3,3.3,3.5
HISPANIC OR LATINO AND RACE,Not Hispanic or Latino,97.2,97.1,97,96.9,96.9,96.8,96.7,96.7,96.7,96.5
HISPANIC OR LATINO AND RACE,Total population,25308,25599,25749,25860,25945,26014,26046,26109,26282,26594
RACE,American Indian and Alaska Native,0.3,0.3,0.3,0.2,0.1,0,0.1,0.1,0.2,0.2
RACE,Asian,0.6,0.8,0.7,0.7,0.6,0.7,0.7,0.7,1.4,1.2
RACE,Black or African American,15.8,15.8,15.6,15.1,14,14.4,13.9,13.6,13.5,14.2
RACE,Native Hawaiian and Other Pacific Islander,0,0,0,0,0,0,0,0,0.1,0.1
RACE,Some other race,0.4,0.5,0.2,0.4,1.4,1.7,0.9,0.8,0.6,0.8
RACE,Two or more races,1.9,1.7,2.3,2.4,3.2,2.7,3.3,3.7,3.6,3.2
RACE,White,81,81,80.9,81.1,80.6,80.4,81.1,81.2,80.7,80.3
SEX AND AGE,10 to 14 years,6.1,5.8,6,5,5.2,5.5,5.8,5.9,6.5,5.9
SEX AND AGE,15 to 19 years,5.5,5.3,4.6,5.1,5,5.5,5.8,6.2,6.1,6.6
SEX AND AGE,20 to 24 years,4.2,4.4,4.7,5.3,5.4,5.6,5.7,5.8,4.8,4.6
SEX AND AGE,25 to 34 years,12.4,12.9,13.1,12.3,12.3,11.3,10.8,10.6,10.7,10.9
SEX AND AGE,35 to 44 years,15.4,14.5,13.8,13.9,13.6,13.9,13.5,13.5,14.4,13.7
SEX AND AGE,45 to 54 years,15.7,15.7,15.8,15.5,15.5,14.9,14.9,14.5,14.3,14.2
SEX AND AGE,5 to 9 years,7.3,7.3,7.5,7.8,7.5,7,6.4,6.5,5.5,5.9
SEX AND AGE,55 to 59 years,6.2,5.9,6.6,6.7,7.2,7.2,7.1,6.9,6.8,6.8
SEX AND AGE,60 to 64 years,6.3,6.8,6.4,6.1,6.1,6.2,6.2,7.4,7.6,7.5
SEX AND AGE,65 to 74 years,8.8,9.3,9.4,10.2,10.2,10.5,11.1,10.7,11.2,11.3
SEX AND AGE,75 to 84 years,4.8,5,4.5,4.4,4.4,5,5.4,5.8,6.4,6.3
SEX AND AGE,85 years and over,1.2,1.2,1.7,2.1,2,1.9,2,1.5,1.4,1.9
SEX AND AGE,Female,54.8,54.1,54.8,54.6,54.3,54.2,54.6,54.3,54.3,54.1
SEX AND AGE,Male,45.2,45.9,45.2,45.4,45.7,45.8,45.4,45.7,45.7,45.9
SEX AND AGE,Total population,25308,25599,25749,25860,25945,26014,26046,26109,26282,26594
SEX AND AGE,Under 5 years,6.2,6,5.9,5.7,5.6,5.4,5.4,4.6,4.4,4.5
