year,household,level,number,pct
2010,9176,poverty_household,658,7.170880557977332
2012,9582,poverty_household,621,6.480901690670006
2014,9787,poverty_household,627,6.406457545723919
2016,9829,poverty_household,687,6.989520805778818
2018,9842,poverty_household,504,5.120910384068279
2010,9176,alice_household,2403,26.187881429816912
2012,9582,alice_household,3475,36.26591525777499
2014,9787,alice_household,3806,38.8883212424645
2016,9829,alice_household,4671,47.52263709431275
2018,9842,alice_household,4059,41.241617557407025
2010,9176,above_alice_household,6115,66.64123801220575
2012,9582,above_alice_household,5486,57.253183051555
2014,9787,above_alice_household,5354,54.70522121181158
2016,9829,above_alice_household,4471,45.487842099908434
2018,9842,above_alice_household,5279,53.63747205852469
