year,race,Median Household Income,ALICE Threshold
2010,Overall,68223,50000
2010,White,70890,50000
2010,Black Or African American,47721,50000
2010,American Indian And Alaska Native,NA,50000
2010,Asian,96029,50000
2010,Native Hawaiian And Other Pacific Islander,NA,50000
2010,Some Other Race,23920,50000
2010,Two Or More Races,100116,50000
2010,"White , Not Hispanic Or Latino",71872,50000
2010,Hispanic Or Latino,38426,50000
2012,Overall,71181,60000
2012,White,73691,60000
2012,Black Or African American,47083,60000
2012,American Indian And Alaska Native,NA,60000
2012,Asian,106250,60000
2012,Native Hawaiian And Other Pacific Islander,NA,60000
2012,Some Other Race,NA,60000
2012,Two Or More Races,53750,60000
2012,"White , Not Hispanic Or Latino",73757,60000
2012,Hispanic Or Latino,75776,60000
2014,Overall,64641,60000
2014,White,66515,60000
2014,Black Or African American,46932,60000
2014,American Indian And Alaska Native,NA,60000
2014,Asian,101500,60000
2014,Native Hawaiian And Other Pacific Islander,NA,60000
2014,Some Other Race,35833,60000
2014,Two Or More Races,58594,60000
2014,"White , Not Hispanic Or Latino",66786,60000
2014,Hispanic Or Latino,35556,60000
2016,Overall,66425,75000
2016,White,67297,75000
2016,Black Or African American,52292,75000
2016,American Indian And Alaska Native,NA,75000
2016,Asian,NA,75000
2016,Native Hawaiian And Other Pacific Islander,NA,75000
2016,Some Other Race,NA,75000
2016,Two Or More Races,61397,75000
2016,"White , Not Hispanic Or Latino",67448,75000
2016,Hispanic Or Latino,42286,75000
2018,Overall,74931,75000
2018,White,76009,75000
2018,Black Or African American,76250,75000
2018,American Indian And Alaska Native,NA,75000
2018,Asian,NA,75000
2018,Native Hawaiian And Other Pacific Islander,NA,75000
2018,Some Other Race,NA,75000
2018,Two Or More Races,61563,75000
2018,"White , Not Hispanic Or Latino",76406,75000
2018,Hispanic Or Latino,45213,75000
