Race,Sex,degree,percent
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,Bachelor's degree or higher,0
ASIAN ALONE,All,Bachelor's degree or higher,37.76223776223776
BLACK OR AFRICAN AMERICAN ALONE,All,Bachelor's degree or higher,13.436442725954567
HISPANIC OR LATINO,All,Bachelor's degree or higher,22.948073701842546
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,Bachelor's degree or higher,NA
SOME OTHER RACE ALONE,All,Bachelor's degree or higher,6.829268292682928
TWO OR MORE RACES,All,Bachelor's degree or higher,17.4934725848564
WHITE ALONE,All,Bachelor's degree or higher,26.418022763615838
"WHITE ALONE, NOT HISPANIC OR LATINO",All,Bachelor's degree or higher,26.384707287933097
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,Bachelor's degree or higher,0
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,Bachelor's degree or higher,0
ASIAN ALONE,Female,Bachelor's degree or higher,30
ASIAN ALONE,Male,Bachelor's degree or higher,63.63636363636363
BLACK OR AFRICAN AMERICAN ALONE,Female,Bachelor's degree or higher,17.806977797915724
BLACK OR AFRICAN AMERICAN ALONE,Male,Bachelor's degree or higher,8.441222164681513
HISPANIC OR LATINO,Female,Bachelor's degree or higher,32.432432432432435
HISPANIC OR LATINO,Male,Bachelor's degree or higher,10.984848484848484
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Bachelor's degree or higher,NA
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Bachelor's degree or higher,NA
SOME OTHER RACE ALONE,Female,Bachelor's degree or higher,15.217391304347828
SOME OTHER RACE ALONE,Male,Bachelor's degree or higher,0
TWO OR MORE RACES,Female,Bachelor's degree or higher,20.72072072072072
TWO OR MORE RACES,Male,Bachelor's degree or higher,13.043478260869565
WHITE ALONE,Female,Bachelor's degree or higher,26.437941473259336
WHITE ALONE,Male,Bachelor's degree or higher,26.397065920277967
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Bachelor's degree or higher,26.271581894540365
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Bachelor's degree or higher,26.503428011753183
All,Female,Bachelor's degree or higher,25.561740685059526
All,Male,Bachelor's degree or higher,24.53417491677835
All,All,Bachelor's degree or higher,25.063885048803986
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,High school graduate,13.48314606741573
ASIAN ALONE,All,High school graduate,17.482517482517483
BLACK OR AFRICAN AMERICAN ALONE,All,High school graduate,36.92605123247946
HISPANIC OR LATINO,All,High school graduate,32.32830820770519
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,High school graduate,NA
SOME OTHER RACE ALONE,All,High school graduate,27.31707317073171
TWO OR MORE RACES,All,High school graduate,24.02088772845953
WHITE ALONE,All,High school graduate,32.273539648198664
"WHITE ALONE, NOT HISPANIC OR LATINO",All,High school graduate,32.13859020310633
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Female,High school graduate,38.70967741935484
AMERICAN INDIAN AND ALASKA NATIVE ALONE,Male,High school graduate,0
ASIAN ALONE,Female,High school graduate,22.727272727272727
ASIAN ALONE,Male,High school graduate,0
BLACK OR AFRICAN AMERICAN ALONE,Female,High school graduate,31.128228364295424
BLACK OR AFRICAN AMERICAN ALONE,Male,High school graduate,43.55256343863284
HISPANIC OR LATINO,Female,High school graduate,20.42042042042042
HISPANIC OR LATINO,Male,High school graduate,47.34848484848485
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,High school graduate,NA
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,High school graduate,NA
SOME OTHER RACE ALONE,Female,High school graduate,0
SOME OTHER RACE ALONE,Male,High school graduate,49.557522123893804
TWO OR MORE RACES,Female,High school graduate,5.405405405405405
TWO OR MORE RACES,Male,High school graduate,49.68944099378882
WHITE ALONE,Female,High school graduate,31.61177873589579
WHITE ALONE,Male,High school graduate,32.969790560756685
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,High school graduate,31.525898273448437
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,High school graduate,32.78158667972576
All,Female,High school graduate,30.99427085449596
All,Male,High school graduate,34.00198867320911
All,All,High school graduate,32.45151020066189
AMERICAN INDIAN AND ALASKA NATIVE ALONE,All,Less than high school diploma,44.9438202247191
ASIAN ALONE,All,Less than high school diploma,20.27972027972028
BLACK OR AFRICAN AMERICAN ALONE,All,Less than high school diploma,24.504591590140166
HISPANIC OR LATINO,All,Less than high school diploma,21.105527638190953
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",All,Less than high school diploma,NA
