category,final_level,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HISPANIC OR LATINO AND RACE,Hispanic or Latino (of any race),2.2,2.3,2.3,2.4,2.4,2.5,2.6,2.6,2.8,2.9
HISPANIC OR LATINO AND RACE,Not Hispanic or Latino,97.8,97.7,97.7,97.6,97.6,97.5,97.4,97.4,97.2,97.1
HISPANIC OR LATINO AND RACE,Total population,32248,32739,33083,33384,33743,33986,34350,34813,35380,36040
RACE,American Indian and Alaska Native,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.2,0.2
RACE,Asian,0.6,0.7,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.6
RACE,Black or African American,18.5,18,18,17.8,16.7,16.7,15.8,15.2,14.8,14.9
RACE,Native Hawaiian and Other Pacific Islander,0,0,0,0,0,0,0,0,0,0
RACE,Some other race,0.4,0.6,0.6,0.8,1.6,1.9,1.9,2,2,1.2
RACE,Two or more races,1.6,1.7,1.7,1.7,2.3,2.2,2.9,3.3,3.6,3.5
RACE,White,78.5,78.7,78.7,78.8,78.6,78.4,78.5,78.5,78.7,79.7
SEX AND AGE,10 to 14 years,5.9,5.8,5.7,6,6.5,6.7,6.3,5.9,5.8,5.1
SEX AND AGE,15 to 19 years,5.8,5.7,5.8,5.7,5.5,5.7,5.4,5.2,4.9,5
SEX AND AGE,20 to 24 years,5,4.9,4.9,4.9,5.2,5.1,5.2,5.2,5.2,5.1
SEX AND AGE,25 to 34 years,11.2,11.4,11.5,11.5,11.5,11.6,11.4,11.3,11.8,11.5
SEX AND AGE,35 to 44 years,14.1,13.6,13,12.8,12,11.8,11.6,11.5,11.1,11.5
SEX AND AGE,45 to 54 years,16.8,16.7,16.8,16.8,16.6,15.9,15.7,15.3,14.6,13.8
SEX AND AGE,5 to 9 years,6.6,6.5,6.5,6.1,5.5,5.2,5.6,6,6,6.4
SEX AND AGE,55 to 59 years,8.2,7.8,7.5,7.2,7.6,7.7,7.6,7.6,7.7,7.8
SEX AND AGE,60 to 64 years,6.5,7.1,7.5,8,7.9,7.9,8.2,8.3,8.5,8.6
SEX AND AGE,65 to 74 years,8.8,9.1,9.3,9.7,10.2,10.7,11.1,11.6,12,12.4
SEX AND AGE,75 to 84 years,4,3.9,4,4.1,4.1,4.3,4.3,5,5.3,5.6
SEX AND AGE,85 years and over,1.2,1.4,1.4,1.4,1.6,1.7,2,1.6,1.6,1.6
SEX AND AGE,Female,50.4,50.5,50.8,50.8,50.5,50.7,50.9,51.1,50.9,50.9
SEX AND AGE,Male,49.6,49.5,49.2,49.2,49.5,49.3,49.1,48.9,49.1,49.1
SEX AND AGE,Total population,32248,32739,33083,33384,33743,33986,34350,34813,35380,36040
SEX AND AGE,Under 5 years,6,6.1,5.9,5.8,5.7,5.7,5.5,5.4,5.5,5.6
